,location,Ex_range,salary
0,delhi,"[6.0, 10.0]",₹ 14.95 Lacs
1,delhi,"[6.0, 10.0]",₹ 25 Lacs
2,delhi,"[6.0, 10.0]",₹ 25 Lacs
3,delhi,"[6.0, 10.0]",₹ 12 Lacs
4,delhi,"[6.0, 10.0]",₹ 34 Lacs
5,delhi,"[6.0, 10.0]",₹ 12 Lacs
6,delhi,"[6.0, 10.0]",₹ 13.50 Lacs
7,delhi,"[6.0, 10.0]",₹ 17 Lacs
8,delhi,"[6.0, 10.0]",₹ 14.40 Lacs
9,delhi,"[6.0, 10.0]",₹ 30 Lacs
10,delhi,"[6.0, 10.0]",₹ 12.50 Lacs
11,delhi,"[6.0, 10.0]",₹ 13 Lacs
12,delhi,"[6.0, 10.0]",₹ 6 Lacs
13,delhi,"[6.0, 10.0]",₹ 10.40 Lacs
14,delhi,"[6.0, 10.0]",₹ 10 Lacs
15,delhi,"[6.0, 10.0]",₹ 30 Lacs
16,delhi,"[6.0, 10.0]",₹ 17 Lacs
17,delhi,"[6.0, 10.0]",₹ 20 Lacs
18,delhi,"[6.0, 10.0]",₹ 17 Lacs
19,delhi,"[6.0, 10.0]",₹ 8 Lacs
20,delhi,"[6.0, 10.0]",₹ 14.50 Lacs
21,delhi,"[6.0, 10.0]",₹ 12 Lacs
22,delhi,"[6.0, 10.0]",₹ 30 Lacs
23,delhi,"[6.0, 10.0]",₹ 36 Lacs
24,delhi,"[6.0, 10.0]",₹ 14.50 Lacs
25,delhi,"[6.0, 10.0]",₹ 13 Lacs
26,delhi,"[6.0, 10.0]",₹ 21 Lacs
27,delhi,"[6.0, 10.0]",₹ 5.20 Lacs
28,delhi,"[6.0, 10.0]",₹ 9.80 Lacs
29,delhi,"[6.0, 10.0]",₹ 12 Lacs
30,delhi,"[6.0, 10.0]",₹ 12.50 Lacs
31,delhi,"[6.0, 10.0]",₹ 13.40 Lacs
32,delhi,"[6.0, 10.0]",₹ 14 Lacs
33,delhi,"[6.0, 10.0]",₹ 20 Lacs
34,delhi,"[6.0, 10.0]",₹ 6 Lacs
35,delhi,"[10.1, 15.0]",₹ 37 Lacs
36,delhi,"[10.1, 15.0]",₹ 90+ Lacs
37,delhi,"[10.1, 15.0]",₹ 13.50 Lacs
38,delhi,"[10.1, 15.0]",₹ 26 Lacs
39,delhi,"[10.1, 15.0]",₹ 25 Lacs
40,delhi,"[10.1, 15.0]",₹ 16 Lacs
41,delhi,"[10.1, 15.0]",₹ 100+ Lacs
42,delhi,"[10.1, 15.0]",₹ 22.95 Lacs
43,delhi,"[10.1, 15.0]",₹ 36 Lacs
44,delhi,"[10.1, 15.0]",₹ 8 Lacs
45,delhi,"[10.1, 15.0]",₹ 23 Lacs
46,delhi,"[10.1, 15.0]",₹ 23 Lacs
47,delhi,"[10.1, 15.0]",₹ 34 Lacs
48,delhi,"[10.1, 15.0]",₹ 31 Lacs
49,delhi,"[10.1, 15.0]",₹ 85+ Lacs
50,delhi,"[10.1, 15.0]",₹ 28 Lacs
51,delhi,"[10.1, 15.0]",₹ 11 Lacs
52,delhi,"[10.1, 15.0]",₹ 7.80 Lacs
53,delhi,"[10.1, 15.0]",₹ 5.50 Lacs
54,delhi,"[10.1, 15.0]",₹ 17.85 Lacs
