,location,Ex_range,salary
0,delhi,"[6.0, 10.0]",₹ 8.20 Lacs
1,delhi,"[6.0, 10.0]",₹ 14.95 Lacs
2,delhi,"[6.0, 10.0]",₹ 10 Lacs
3,delhi,"[6.0, 10.0]",₹ 25 Lacs
4,delhi,"[6.0, 10.0]",₹ 13 Lacs
5,delhi,"[6.0, 10.0]",₹ 9.50 Lacs
6,delhi,"[6.0, 10.0]",₹ 12 Lacs
7,delhi,"[6.0, 10.0]",₹ 8 Lacs
8,delhi,"[6.0, 10.0]",₹ 25 Lacs
9,delhi,"[6.0, 10.0]",₹ 16.40 Lacs
10,delhi,"[6.0, 10.0]",₹ 17 Lacs
11,delhi,"[6.0, 10.0]",₹ 17.75 Lacs
12,delhi,"[6.0, 10.0]",₹ 14 Lacs
13,delhi,"[6.0, 10.0]",₹ 26 Lacs
14,delhi,"[6.0, 10.0]",₹ 7 Lacs
15,delhi,"[6.0, 10.0]",₹ 10 Lacs
16,delhi,"[6.0, 10.0]",₹ 25 Lacs
17,delhi,"[6.0, 10.0]",₹ 12 Lacs
18,delhi,"[6.0, 10.0]",₹ 13 Lacs
19,delhi,"[6.0, 10.0]",₹ 19.65 Lacs
20,delhi,"[6.0, 10.0]",₹ 13 Lacs
21,delhi,"[6.0, 10.0]",₹ 12.80 Lacs
22,delhi,"[6.0, 10.0]",₹ 16 Lacs
23,delhi,"[6.0, 10.0]",₹ 23 Lacs
24,delhi,"[6.0, 10.0]",₹ 13.50 Lacs
25,delhi,"[6.0, 10.0]",₹ 26 Lacs
26,delhi,"[6.0, 10.0]",₹ 20 Lacs
27,delhi,"[6.0, 10.0]",₹ 16 Lacs
28,delhi,"[6.0, 10.0]",₹ 10 Lacs
29,delhi,"[6.0, 10.0]",₹ 18 Lacs
30,delhi,"[6.0, 10.0]",₹ 30 Lacs
31,delhi,"[6.0, 10.0]",₹ 16 Lacs
32,delhi,"[6.0, 10.0]",₹ 14.40 Lacs
33,delhi,"[6.0, 10.0]",₹ 4.20 Lacs
34,delhi,"[6.0, 10.0]",₹ 6 Lacs
35,delhi,"[6.0, 10.0]",₹ 12.50 Lacs
