attributes,value,Source
New Delhi,356,Location
Gurgaon/Gurugram,96,Location
Mumbai,74,Location
Bangalore/Bengaluru,66,Location
New Delhi,356,Location
Gurgaon/Gurugram,96,Location
Mumbai,74,Location
Bangalore/Bengaluru,66,Location
Noida,35,Location
Kolkata,32,Location
Hyderabad/Secunderabad,27,Location
Ahmedabad,23,Location
Chennai,19,Location
Pune,18,Location
Jaipur,13,Location
Chandigarh,12,Location
Bhubaneswar,11,Location
Lucknow,9,Location
Bhopal,8,Location
Ranchi,8,Location
Raipur,7,Location
Guwahati,6,Location
Maharashtra,5,Location
Delhi,5,Location
Strategic & Top Management,115,Department
Marketing & Communication,106,Department
Consulting,71,Department
Legal & Regulatory,68,Department
CSR & Social Service,66,Department
Sales & Business Development,14,Department
Administration & Facilities,14,Department
Project & Program Management,12,Department
Other,53,Department
Management Consulting,107,industry
NGO / Social Services / Industry Associations,102,industry
Government / Public Administration,71,industry
Power,63,industry
Management Consulting,107,industry
NGO / Social Services / Industry Associations,102,industry
Government / Public Administration,71,industry
Power,63,industry
Advertising & Marketing,61,industry
IT Services & Consulting,58,industry
Education / Training,41,industry
Accounting / Auditing,28,industry
Analytics / KPO / Research,26,industry
Automobile,24,industry
