attributes,Source
"962 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Anywhere in India, 6-15 yrs",anywhere_india_data
"699 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Anywhere in India, 6-15 yrs",anywhere_india_data_genders
"249 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Anywhere in India, 6-15 yrs",anywhere_india_data_genders
"54 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 6-15 yrs",gender_diversity_data
"23 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 6-15 yrs",gender_diversity_data
"247 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Delhi / NCR, 6-10 yrs",experience_split_data
"253 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Delhi / NCR, 10.1-15 yrs",experience_split_data
"12 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Hyderabad/Secunderabad, 6-10 yrs",experience_split_data
"15 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Hyderabad/Secunderabad, 10.1-15 yrs",experience_split_data
"43 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 6-10 yrs",experience_split_data
"37 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 10.1-15 yrs",experience_split_data
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Chennai, 6-10 yrs",experience_split_data
"10 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Chennai, 10.1-15 yrs",experience_split_data
"39 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Bangalore/Bengaluru, 6-10 yrs",experience_split_data
"27 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Bangalore/Bengaluru, 10.1-15 yrs",experience_split_data
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Pune, 6-10 yrs",experience_split_data
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Pune, 10.1-15 yrs",experience_split_data
"501 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Delhi / NCR, 6-15 yrs",location_count_data
"27 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Hyderabad/Secunderabad, 6-15 yrs",location_count_data
"80 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 6-15 yrs",location_count_data
"19 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Chennai, 6-15 yrs",location_count_data
"66 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Bangalore/Bengaluru, 6-15 yrs",location_count_data
"18 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Pune, 6-15 yrs",location_count_data
"295 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), Mumbai (All Areas), 6-15 yrs",hiring_location
