attributes
"247 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Delhi / NCR, 6-10 yrs"
"253 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Delhi / NCR, 10.1-15 yrs"
"12 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Hyderabad/Secunderabad, 6-10 yrs"
"15 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Hyderabad/Secunderabad, 10.1-15 yrs"
"43 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 6-10 yrs"
"37 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Mumbai (All Areas), 10.1-15 yrs"
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Chennai, 6-10 yrs"
"10 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Chennai, 10.1-15 yrs"
"39 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Bangalore/Bengaluru, 6-10 yrs"
"27 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Bangalore/Bengaluru, 10.1-15 yrs"
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Pune, 6-10 yrs"
"9 profiles found for (""Public policy"",""Govt advocacy"",""Government advocacy"",""Policy advocacy"",""public affairs"",""Healthcare policy""), Pune, 10.1-15 yrs"
